#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2017,4,22,11,10,10,7,8,MM,MM,MM,MM,1020.2,6.5,6.7,3.5,MM,MM,MM
2017,4,22,11,0,360,7,9,MM,MM,MM,MM,1019.9,6.5,6.7,3.5,MM,0.7,MM
2017,4,22,10,50,360,7,9,0.4,3,2.8,0,1019.6,6.5,6.7,3.7,MM,MM,MM
2017,4,22,10,40,360,7,9,MM,MM,MM,MM,1019.1,6.5,6.7,3.7,MM,MM,MM
2017,4,22,10,30,10,7,9,MM,MM,MM,MM,1019,6.6,6.7,3.8,MM,MM,MM
2017,4,22,10,20,360,7,8,MM,MM,MM,MM,1018.7,6.6,6.7,3.9,MM,MM,MM
2017,4,22,10,10,360,6,8,MM,MM,MM,MM,1018.8,6.6,6.7,3.8,MM,MM,MM
2017,4,22,10,0,360,7,8,MM,MM,MM,MM,1018.8,6.6,6.7,3.8,MM,-0.4,MM
2017,4,22,9,50,350,6,8,0.4,3,2.8,348,1018.9,6.7,6.7,4.1,MM,MM,MM
2017,4,22,9,40,360,6,7,MM,MM,MM,MM,1019,6.7,6.7,4.1,MM,MM,MM
2017,4,22,9,30,360,7,8,MM,MM,MM,MM,1018.8,6.7,6.7,3.8,MM,MM,MM
2017,4,22,9,20,350,6,7,MM,MM,MM,MM,1019,6.7,6.7,4.1,MM,MM,MM
2017,4,22,9,10,350,5,7,MM,MM,MM,MM,1019,6.7,6.7,4.4,MM,MM,MM
2017,4,22,9,0,350,5,6,MM,MM,MM,MM,1018.8,6.7,6.7,4.5,MM,-0.5,MM
2017,4,22,8,50,340,4,5,0.3,3,2.9,13,1019,6.8,6.7,4.7,MM,MM,MM
2017,4,22,8,40,350,4,5,MM,MM,MM,MM,1019.2,6.7,6.7,4.7,MM,MM,MM
2017,4,22,8,30,350,3,4,MM,MM,MM,MM,1019.2,6.6,6.7,5.1,MM,MM,MM
2017,4,22,8,20,340,4,5,MM,MM,MM,MM,1019.4,6.6,6.7,5,MM,MM,MM
2017,4,22,8,10,350,4,5,MM,MM,MM,MM,1019.3,6.6,6.7,4.9,MM,MM,MM
2017,4,22,8,0,360,4,5,MM,MM,MM,MM,1019.2,6.6,6.7,4.9,MM,0,MM
2017,4,22,7,50,360,4,5,0.4,3,3,341,1019.2,6.6,6.7,4.9,MM,MM,MM
2017,4,22,7,40,10,4,5,MM,MM,MM,MM,1019.2,6.6,6.7,4.9,MM,MM,MM
2017,4,22,7,30,10,4,5,MM,MM,MM,MM,1019.2,6.6,6.7,4.8,MM,MM,MM
2017,4,22,7,20,10,5,6,MM,MM,MM,MM,1019.2,6.5,6.7,4.8,MM,MM,MM
2017,4,22,7,10,10,5,6,MM,MM,MM,MM,1019.3,6.5,6.7,4.9,MM,MM,MM
2017,4,22,7,0,10,5,6,MM,MM,MM,MM,1019.2,6.5,6.7,4.8,MM,0,MM
2017,4,22,6,50,10,5,6,0.3,3,2.7,2,1019.3,6.6,6.7,4.8,MM,MM,MM
2017,4,22,6,40,20,4,6,MM,MM,MM,MM,1019.3,6.6,6.7,4.8,MM,MM,MM
2017,4,22,6,30,20,5,6,MM,MM,MM,MM,1019.3,6.6,6.7,4.8,MM,MM,MM
2017,4,22,6,20,20,5,6,MM,MM,MM,MM,1019.4,6.7,6.7,4.8,MM,MM,MM
